New_ID	ID_MC5000_2012	ID_Original_2006	Nr_particles_weight
1	4998	4783	185
2	5000	4850	28
3	21	135	1
4	4986	146	9
5	4985	282	141
6	4926	542	95
7	4846	4846	2
8	4935	242	10
9	4869	4374	43
10	4891	608	125
11	4860	619	95
12	4828	4267	125
13	4631	664	28
14	4780	4186	39
15	4576	4442	5
16	4774	868	117
17	4847	266	2
18	4699	992	45
19	4762	4263	10
20	4750	3899	225
21	4807	4567	6
22	4578	707	9
23	4695	3824	42
24	4371	3630	12
25	4261	738	3
26	4657	3657	34
27	4333	1341	18
28	4327	3472	17
29	4252	661	3
30	4650	3220	774
31	529	4430	1
32	4672	4420	2
33	588	3864	2
34	4691	4305	3
35	4324	3707	12
36	4654	3361	18
37	4420	3210	200
38	4008	1184	3
39	4537	4158	2
40	3920	3307	14
41	4404	1713	51
42	3901	3258	11
43	4360	1997	958
44	854	913	1
45	4018	3162	78
46	4399	3079	86
47	881	969	1
48	884	867	1
49	3731	3474	3
50	4311	2855	127
51	3902	4036	2
52	3722	1799	9
53	4264	1276	2
54	4218	1279	2
55	3729	1912	44
56	3687	1379	2
57	1136	1701	1
58	1412	3521	2
59	3606	1746	5
60	3618	3310	3
61	3865	3610	2
62	3483	1894	5
63	3275	1804	2
64	3572	2025	69
65	1479	1741	2
66	3274	3052	6
67	3624	1870	2
68	3348	1845	3
69	3218	2795	61
70	3214	1897	3
71	3480	2854	17
72	3206	2712	43
73	3576	1841	3
74	3122	2583	64
75	3121	2328	249
76	3098	2557	405
77	3034	3108	2
78	3181	2031	29
79	3073	2754	3
80	2968	2746	12
81	2148	2331	1
82	2745	2711	11
83	2799	2316	8
84	2669	2351	2
85	2673	2678	3
86	2645	2456	25
87	2630	2736	2
88	2598	2493	21
89	2371	2358	1
90	2386	2388	1
91	2592	2475	25
92	2682	2333	3
93	2577	2455	5
94	3412	3185	2
95	3627	1452	1
96	3631	3426	1
97	3713	1352	1
98	3718	1566	1
99	3810	1322	2
100	3832	1308	1
101	4397	1050	2
102	4319	679	1
103	4432	4081	1
104	4723	4742	2
105	4859	245	1
